Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0,0,0.0001,-0.0002
0.1,0.0043,0.014,-0.0027
0.2,0.0119,0.0236,-0.0104
0.3,0.0193,0.0348,-0.014
0.4,0.0267,0.0371,-0.0155
0.5,0.0342,0.0403,-0.017
0.6,0.0417,0.0435,-0.0177
0.7,0.0493,0.0451,-0.0181
0.8,0.0567,0.0468,-0.0184
0.9,0.0642,0.0496,-0.0182
1,0.0718,0.0505,-0.0175
1.1,0.0793,0.051,-0.0166
1.2,0.0868,0.0514,-0.0157
1.3,0.0942,0.0525,-0.0154
1.4,0.1016,0.053,-0.0147
1.5,0.1092,0.0537,-0.0135
1.6,0.1166,0.0561,-0.013
1.7,0.1241,0.0585,-0.0117
1.8,0.1317,0.0602,-0.01
1.9,0.1392,0.0613,-0.0077
2,0.1467,0.0625,-0.0058
2.1,0.1541,0.0635,-0.0038
2.2,0.1616,0.0654,-0.0028
2.3,0.1693,0.0685,-0.0004
2.4,0.1767,0.0713,0.0018
2.5,0.1842,0.0727,0.0043
2.6,0.1918,0.0745,0.0065
2.7,0.1993,0.0764,0.0092
2.8,0.2067,0.079,0.0122
2.9,0.2142,0.0825,0.0154
3,0.2217,0.0868,0.0189
3.1,0.2292,0.0907,0.0236
3.2,0.2367,0.0951,0.0276
3.3,0.2441,0.1026,0.0325
3.4,0.2517,0.113,0.0384
3.5,0.2592,0.1257,0.0449
3.6,0.2667,0.1366,0.0537
3.7,0.2742,0.151,0.0641
3.8,0.2817,0.1812,0.0742
3.9,0.2893,0.2236,0.0837
4,0.2967,0.2698,0.0921
4.1,0.3041,0.3124,0.0998
4.2,0.3117,0.3542,0.1063
4.3,0.3192,0.3963,0.1118
4.4,0.3267,0.4362,0.1166
4.5,0.3341,0.474,0.1207
4.6,0.3416,0.5111,0.1238
4.7,0.3492,0.5477,0.1258
4.8,0.3567,0.5806,0.1288
4.9,0.3641,0.6119,0.1302
5,0.3717,0.6411,0.1327
5.1,0.3792,0.6691,0.1331
5.2,0.3867,0.6959,0.1342
5.3,0.3942,0.7209,0.1349
5.4,0.4017,0.7456,0.1352
5.5,0.4093,0.7707,0.1353
5.6,0.4168,0.7937,0.1357
5.7,0.4242,0.8162,0.1353
5.8,0.4318,0.8388,0.1355
5.9,0.4392,0.8608,0.1357
6,0.4467,0.8831,0.1358
6.1,0.4542,0.905,0.1353
6.2,0.4617,0.9269,0.135
6.3,0.4692,0.9494,0.1342
6.4,0.4766,0.9719,0.1336
6.5,0.4841,0.9953,0.1324
6.6,0.4917,1.0194,0.1322
6.7,0.4992,1.0431,0.1314
6.8,0.5067,1.0676,0.1311
6.9,0.5142,1.0914,0.1304
7,0.5217,1.1159,0.13
7.1,0.5293,1.1407,0.1291
7.2,0.5367,1.1645,0.1285
7.3,0.5441,1.1881,0.127
7.4,0.5518,1.2126,0.1265
7.5,0.5592,1.2362,0.1255
7.6,0.5666,1.2609,0.1253
7.7,0.5741,1.2855,0.125
7.8,0.5816,1.3119,0.1243
7.9,0.5892,1.338,0.1243
8,0.5967,1.3647,0.1232
8.1,0.6041,1.391,0.1229
8.2,0.6118,1.4212,0.1219
8.3,0.6193,1.4508,0.1219
8.4,0.6267,1.4824,0.121
8.5,0.6342,1.5134,0.1212
8.6,0.6417,1.5468,0.1213
8.7,0.6493,1.5802,0.1216
8.8,0.6567,1.6133,0.1213
8.9,0.6641,1.6468,0.121
9,0.6717,1.6837,0.1204
9.1,0.6792,1.7184,0.1198
9.2,0.6867,1.7549,0.1199
9.3,0.6941,1.791,0.1195
9.4,0.7017,1.8299,0.1197
9.5,0.7092,1.8688,0.1196
9.6,0.7166,1.9082,0.1198
9.7,0.7241,1.9488,0.1195
9.8,0.7318,1.9915,0.12
9.9,0.7393,2.0323,0.1192
10,0.7467,2.0745,0.1192
10.1,0.7542,2.1168,0.1188
10.2,0.7617,2.1609,0.1186
10.3,0.7692,2.2052,0.119
10.4,0.7767,2.2494,0.119
10.5,0.7841,2.2934,0.1196
10.6,0.7917,2.3426,0.1191
10.7,0.7992,2.3883,0.119
10.8,0.8066,2.4353,0.1189
10.9,0.8141,2.4825,0.1187
11,0.8217,2.5328,0.1183
11.1,0.8292,2.5823,0.1183
11.2,0.8367,2.6318,0.1181
11.3,0.8441,2.682,0.1185
11.4,0.8518,2.7361,0.1186
11.5,0.8593,2.7865,0.119
11.6,0.8667,2.8378,0.1178
11.7,0.8742,2.8902,0.1185
11.8,0.8817,2.9446,0.1178
11.9,0.8892,2.9984,0.1184
