Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
0,0,0.0001,0.0002
0.1,0.0063,0.0045,0.0073
0.2,0.0168,0.0122,0.019
0.3,0.0272,0.019,0.0311
0.4,0.0377,0.0254,0.0427
0.5,0.0481,0.0318,0.0542
0.6,0.0587,0.0379,0.0658
0.7,0.0691,0.0437,0.0753
0.8,0.0797,0.0447,0.0795
0.9,0.0901,0.0457,0.0818
1,0.1008,0.046,0.083
1.1,0.1111,0.0463,0.085
1.2,0.1217,0.0462,0.0877
1.3,0.1322,0.0467,0.0878
1.4,0.1426,0.0469,0.0893
1.5,0.1531,0.047,0.0908
1.6,0.1638,0.0471,0.0907
1.7,0.1742,0.047,0.0916
1.8,0.1846,0.047,0.0922
1.9,0.1952,0.0473,0.092
2,0.2056,0.0473,0.0928
2.1,0.2162,0.0472,0.0935
2.2,0.2267,0.0475,0.0927
2.3,0.2372,0.0481,0.0945
2.4,0.2476,0.0486,0.0956
2.5,0.2581,0.0486,0.0949
2.6,0.2686,0.0486,0.095
2.7,0.2792,0.0489,0.0948
2.8,0.2896,0.0488,0.0941
2.9,0.3002,0.049,0.0946
3,0.3106,0.0488,0.094
3.1,0.3211,0.0488,0.0933
3.2,0.3316,0.049,0.0938
3.3,0.3422,0.0493,0.0936
3.4,0.3526,0.0498,0.0929
3.5,0.3631,0.05,0.0942
3.6,0.3737,0.0506,0.0925
3.7,0.3841,0.0517,0.0934
3.8,0.3946,0.0555,0.0989
3.9,0.4052,0.0598,0.1029
4,0.4157,0.0653,0.1104
4.1,0.4261,0.071,0.1197
4.2,0.4367,0.0773,0.1287
4.3,0.4472,0.0832,0.1385
4.4,0.4577,0.0895,0.1499
4.5,0.4682,0.0955,0.1589
4.6,0.4787,0.1016,0.1688
4.7,0.4891,0.1076,0.1793
4.8,0.4997,0.1137,0.1891
4.9,0.5101,0.1196,0.1995
5,0.5207,0.1258,0.2097
5.1,0.5311,0.1317,0.2188
5.2,0.5417,0.1377,0.2299
5.3,0.5521,0.1434,0.2397
5.4,0.5626,0.1494,0.2494
5.5,0.5731,0.1552,0.2602
5.6,0.5837,0.161,0.2699
5.7,0.5941,0.1669,0.2791
5.8,0.6046,0.1729,0.2899
5.9,0.6152,0.1787,0.3002
6,0.6256,0.1842,0.3093
6.1,0.6362,0.19,0.3203
6.2,0.6467,0.1957,0.3297
6.3,0.6571,0.2011,0.3393
6.4,0.6676,0.207,0.3505
6.5,0.6782,0.2127,0.3599
6.6,0.6887,0.2183,0.3698
6.7,0.6992,0.2238,0.3804
6.8,0.7098,0.2295,0.3899
6.9,0.7202,0.2349,0.4
7,0.7306,0.2404,0.4104
7.1,0.7412,0.2458,0.4194
7.2,0.7516,0.2512,0.4296
7.3,0.7622,0.2564,0.44
7.4,0.7727,0.2616,0.4484
7.5,0.7832,0.2667,0.4585
7.6,0.7936,0.2715,0.4675
7.7,0.8041,0.2764,0.4763
7.8,0.8146,0.2815,0.486
7.9,0.8252,0.2866,0.4952
8,0.8357,0.2912,0.5039
8.1,0.8461,0.2958,0.5141
8.2,0.8566,0.301,0.5225
8.3,0.8671,0.3056,0.5313
8.4,0.8777,0.3104,0.5413
8.5,0.8882,0.3149,0.5499
8.6,0.8987,0.3195,0.5586
8.7,0.9091,0.3238,0.5682
8.8,0.9197,0.3285,0.576
8.9,0.9302,0.3327,0.5846
9,0.9408,0.3372,0.594
9.1,0.9512,0.3413,0.6019
9.2,0.9617,0.3454,0.6126
9.3,0.9721,0.3492,0.6211
9.4,0.9827,0.3531,0.6289
9.5,0.9931,0.3571,0.6375
9.6,1.0037,0.361,0.6456
9.7,1.0141,0.3646,0.6523
9.8,1.0246,0.3684,0.6607
9.9,1.0351,0.3718,0.669
10,1.0457,0.3757,0.6755
10.1,1.0562,0.3792,0.6839
10.2,1.0667,0.3828,0.6918
10.3,1.0771,0.3862,0.6986
10.4,1.0877,0.3897,0.7071
10.5,1.0982,0.3932,0.7135
10.6,1.1086,0.3963,0.7207
10.7,1.1192,0.3997,0.7289
10.8,1.1297,0.4031,0.7354
10.9,1.1402,0.406,0.7425
11,1.1507,0.4095,0.7502
11.1,1.1612,0.4124,0.757
11.2,1.1717,0.4157,0.7639
11.3,1.1823,0.4188,0.7714
11.4,1.1927,0.422,0.7782
11.5,1.2032,0.4249,0.7855
11.6,1.2136,0.428,0.793
11.7,1.2242,0.431,0.7991
11.8,1.2346,0.4342,0.8066
11.9,1.2452,0.4374,0.8145
12,1.2556,0.4401,0.8206
12.1,1.2661,0.4432,0.8282
